id,source,left_context,mention,right_context,nil_type
54,train,I Finally Found My Way is a song by the American hard rock band Kiss released on their 1998 album,psycho circus,".A ballad credited to guitarist/vocalist Paul Stanley and producer Bob Ezrin, the song was written specifically for drummer Peter Criss to sing for the album. Although Criss is feat",Non-Entity Phrase
55,train,"rlie Alaniz. He submitted Aniz in the first round by bulldog choke. In the quarterfinals, Elliott faced 6th ranked 'Team Cejudo' fighter and former",caged,"contestant Matt Schnell. Despite being struck with a devastating groin kick in the opening moments of the bout, he was able to recover and sub",Non-Entity Phrase
58,train,rmant assisting a cell of the Juarez Drug Cartel in planning and carrying out the murders of multiple people as part of a U.S. government-sponsored,deep cover,"operation. In the wake of publishing a series of reports on the House of Death case, Investigative journalist Bill Conroy received intimi",Non-Entity Phrase
63,train,"who was executed after inspiring a fight for independence in the 19th century: :Why, now, Nehanda Nyakasikana,Do you close your eyes, Mufakose,With",your face,"gently loweredAnd your eyes staring longAnd looking down—heavy with tears. . .Quoted in Ranger, 127. Mutswairo explained that his poetry i",Non-Entity Phrase
65,train,"6 seconds and threw the shot put 57 feet 9¼ inches. In basketball, he was a second-team all-league center. As a high school baseball player, he hit",balls out,"of San Diego Balboa Stadium. He turned a down an offer of a tryout by the Harlem Globetrotters.==Baseball career==After high school, Charl",Non-Entity Phrase
68,train,"ef Justice Vinson said that Feiner gave the impression that he was endeavoring to arouse the Negro people against the whites, urging that they rise",up in arms,"and fight for equal rights. Blocking the sidewalk and overflowing into the street in which there was oncoming traffic, the crowd became r",Non-Entity Phrase
73,train,"f large public hospitals and private hospitals, and doctors are located in Mandalay, these low numbers for a division with 7.7 million are actually",even worse,"in the rest of the division, though these figures are believed to have improved by the advent of Naypyidaw as the nation's capital in 200",Non-Entity Phrase
74,train,"September 6, 1974. After graduating from high school, he joined Yokohama Marinos in 1993. He debuted as central midfielder in 1995 and the club won",the champions,"1995 J1 League. However he could not become a regular player and he moved to JEF United Ichihara in 1999. In 2000, he moved to J2 Leag",Non-Entity Phrase
76,train,"y remained limited, so only minor increases in student accommodation were needed. By the 1920s the verandahs of the Suter building were ceiled, and",the south end,of the front (west) verandah was enclosed for a library long. In 1931 the interior of the 1880s portion was re-lined.A tennis court wa,Non-Entity Phrase
78,train,"operated the mill until 1945 when it was extensively damaged by fire. The Conservation Area still contains a stone family home, a ruined mill below",the falls,and millstones.==Sources==* *==References==,Non-Entity Phrase
85,train,"; 29-71, because his former co-worker Kohaku Mardi wrote it on a wall in his own blood before he died. Mycroft divulges that the statistics predict",the tipping point,of global destabilization. Mycroft and Vivien agree privately to do anything they can to prevent this catastrophe. The six Hive le,Non-Entity Phrase
86,train,"es, conjecturally dated to the mid 18th century, of the original Binnya Dala translation have survived. In all, nine slightly different versions of",the chronicle,existed according to a 1968 analysis by Nai Pan Hla. Pan Hla re-translated one of the versions back to Mon in 1958. He also wrote a ne,Missing Entity
91,train,"egion codes: See ISO 3166-2:IE * Internet country code top-level domain: .ie== Geography of Ireland ==Geography of Ireland * Ireland is: a country,",on an island,* Location: ** Northern Hemisphere and Western Hemisphere ** Atlantic Ocean ** Eurasia *** Europe **** Northern Europe **** Western Eur,Non-Entity Phrase
92,train,"er acting career in New York City in the mid-1950s. In 1958, Corsaut and Steve McQueen made their film debuts in the independent cult horror film",the blob,". On television, in 1961-1962, she portrayed Irma Howell on the CBS sitcom Mrs. G. Goes to College.Corsaut first appeared on the long-",Missing Entity
97,train,"f waste prevention because it encompasses not one behavior, but many.===Reduce===Reduce is a form of precycling that allows for the preservation of",natural resources,"and also saves money on behalf of the manufacturer, the consumer, and the waste manager. Moreover, effective source reduction slow",Non-Entity Phrase
99,train,"i apo Ellada! (1980) *Trohonomos Varvara (1981) *Pame gia kafe? (1981) *Kotsos exo apo to NATO, O (1981) *Kamakia, Ta (1981) *Eisai stin EOK, pathe",gia,"tin EOK (1981) ... aka Eisai stin EOK, mathe gia tin EOK *Vasika... kalispera sas (1982) .... Efstathios Koubaris... aka Radiopeirates, Oi *Sain",Non-Entity Phrase
102,train,"l for Kristina Söderbaum's roles, is a model of patient, virtuous and old-fashioned wifehood and of pure and healthy Aryan stock, stemming from her",country living,", whereas her rival is Polish, promiscuous, and city-dwelling, an obvious product of asphalt culture .Cinzia Romani, Tainted Goddesses",Non-Entity Phrase
103,train,fully explored. The tannin inside of the fruit is not harmful to humans and a delicious syrup may be made from the fruit. The syrup has a beautiful,indigo blue,"color and may be used to enhance and remove the bitterness of teas such as yerba mate. Furthermore, the plant is used in Brazil to treat",Non-Entity Phrase
104,train,"ne of the Rogue's tributaries, has also been designated a scenic waterway.==Transportation==Initially, freight was brought into Josephine County by",pack train,". As the trails improved, freight wagons were used. Stage coaches were the primary mode of transportation until 1914, when auto stages too",Missing Entity
105,train,"Bay. This is accessible only on foot or from the sea, and consists of a shingle beach on a wave cut platform bounded by high sandstone cliffs. The",coast to coast,walk descends to the bay en route to the North Head.==Flora==The rugged cliff face supports diverse flora mainly due to the nature of,Non-Entity Phrase
106,train,Tobin] In The Dark Intro # [Amon Tobin ] Horsefish Live Mix # [Cardiacs] The Alphabet Business Concern (Home Of Fadeless Splendour) # [,two fingers,] Two Fingers (Instrumental) # [Spank Rock] Bump Switch Rmx # [Two Fingers] That Girl (Instrumental) # [Amon Tobin] Esthers,Missing Entity
116,train,"bout writing offer such advice and some are more inspirational and ambitious, noting how King cannot replicate a formula for his success so he does",the next best thing,by describing his work habits and environment urging that consistency in those areas can be conducive to good writing. John Mark,Non-Entity Phrase
1361,train,"as a team. During the series, Martin was asked how he had learned to run so fast; he replied, I grew up in Oklahoma, and once you start runnin' out",there there,"ain't nothin' to stop you . Longtime major league manager, John McGraw, described Martin's performance as the greatest individual perfor",Non-Entity Phrase
125,train,"000 c g * Simulium menglaense Chen, 2003 c g * Simulium merga Takaoka &amp; Choochote, 2005 c g * Simulium meridionale Riley, 1887 i c g * Simulium",merops,"Meillon, 1950 c g * Simulium merritti Adler, Currie &amp; Wood, 2004 c g * Simulium meruoca Mello, Almeida, Dellome, 1973 i * Simulium mesasi",Non-Entity Phrase
126,train,"th album, Lookin' Back at Myself, which produced the No.&amp; 15 I Got It Honest and the minor Top 40 She Feels Like a Brand New Man Tonight .",tool box,", his fifth album for RCA, produced his second Number One country hit in the ballad That's as Close as I'll Get to Loving You ; the second",Non-Entity Phrase
130,train,"orestry, the revenues derive from house rental, hiring-out of hunting areas, hiring-out of storage facilities and machine pool services.There is no",public access,"to the house but the park is open to the public on Wednesdays, Saturdays, Sundays and public holidays. Admission is free of charge.==L",Non-Entity Phrase
134,train,"once held sway, of men that mattered, of women who ruled, of hearths and hearts, of ideologies, of blood, sweat and tears and of emotions that have",never let go,of the artist the `Untouchables' is a veritable emotional journey. A journey that troubles just as it tells the lives and times of Indi,Non-Entity Phrase
135,train,(1960) *Taiyô no hakaba (1960) - Black Glasses *Banana (1960) *Happiness of Us Alone (1961) *Minami no kaze to nami (1961) - Mineo Koike *Wakarete,ikiru,toki mo (1961) *Netsuai sha (1961) - Tomonari *Akitsu Springs (1962) - Osaki *Ao beka monogatari (1962) *Nikui an-chikushô (1962) - Toshio Kos,Non-Entity Phrase
138,train,vealed to be gifts once Maggie turns the light on. The sixth comes from 3 Scenes Plus a Tag from a Marriage which is a new version of his 1987 film,your face,"with Homer's face as a replacement.===Robot Chicken===The couch gag for the episode, The Fabulous Faker Boy , which aired on May 12, 2",Non-Entity Phrase
139,train,". However, I don’t recall him smoking another one of my cigs.Being young, attractive and somewhat wild, Hank was a big attraction to the ladies. At",one show,"in a small honky tonk on the edge of Montgomery, Hank and Lum were playing to just two couples. Hank spoke to the woman who worked the bar",Missing Entity
140,train,"peared as the character Moist in Dr. Horrible's Sing-Along Blog, and had a small role in the pilot episode of the Judd Apatow-produced sitcom",undeclared,". In the 2009 Coen brothers film A Serious Man, he played junior Rabbi Scott Ginsler. He had a minor role in the season 4 finale of",Non-Entity Phrase
142,train,chosen due to the various connotations based upon the word's definition of straight or level. The album cover and artwork involved a great deal of,the color purple,because of the rhyme between the words plumb and plum .This marked the first Field Music album without the band's former keyboardis,Non-Entity Phrase
145,train,"derbelebung des deutschen Nationalismus und seiner Mythen , Der Spiegel, September 24, 1990 &amp; Weleche Probleme kann ein deutscher Nationalismus",heute,überhaupt noch lösen? Wider die Apostel der nationalen Normalität : DerVerfassungs-und Sozialstaat schafft Loyalität und Staatsbürgerstolz Die,Non-Entity Phrase
146,train,"ards of the Coast. Wizards of the Coast has the ability to alter the d20 System Trademark License at will, and gives a short, 30-day cure period to",rectify,any issues with the license before termination. These changes apply retroactively to all material published under the d20 System Trademark L,Non-Entity Phrase
147,train,"realism with which I 鈥?executed [the 1953 portrait of Mihail Sadoveanu]鈥?(quoted at Susara, 2001, p. 20). I have very much enjoyed seeing myself as",the last hero,"at the bridgehead of great painting. (quoted at Susara, 2001, p.158). See also from a 1998 exhibition at the National Museum of Art of",Missing Entity
148,train,illagers believe there is so much of PareShaan in spite of Shaan in the village. Even in a simple thing that happens to their life they mix up with,shagun,and apshagun without using their logical reasoning.,Non-Entity Phrase
151,train,"iv Sena said, We will not sit at home after our win, we will fulfill all promises that we made during our election campaign. We will make this city",stone free,and there will be footpaths and clean smooth roads everywhere.== References ==,Non-Entity Phrase
152,train,icks 4 games to 1. Tim Duncan was named NBA Finals MVP.The 1999 Playoffs are memorable in that a #8 seed (the Knicks) made it to the Finals for the,only time,"in history, and that it came after a lockout-shortened 50-game season. It also featured the Philadelphia 76ers鈥?and Milwaukee Bucks鈥?first",Non-Entity Phrase
153,train,"rints to establish identity. Users then complete a computerized customs declaration, and are issued a receipt instructing them to either proceed to",baggage claim,", or to a normal inspection booth for an interview.===Land and sea===Enrolled users are provided with an RFID-enabled Global Entry memb",Non-Entity Phrase
154,train,"e 1905 Russo-Japanese War.== The Big Switch ==The War That Came Early: The Big Switch, published in July 2011, is the third book in the series. The",big switch,"referred to in the title is that of France and the United Kingdom, as they join Germany in its war against the Soviet Union. At the end o",Non-Entity Phrase
155,train,"Maintenance Squadron (461 MXS)==History=====Tactical Air Command===Prompted by experience in the Korean War, the Air Force decided to increase its",air support,"and air interdiction capabilities to support ground forces. As part of this increase, it organized the 461st Bombardment Wing at Hill Ai",Non-Entity Phrase
160,train,"hip, São Paulo, Brazil, May 27, 2019==Personal bests==*95 Krystal Hamburgers - eight minutes *39 Krystal Hamburgers - two minutes *38½ Johnsonville",brats,- 10 minutes *46 Nathan's Hot Dogs and buns - 10 minutes *38 Phillip's Crabcakes - 10 minutes *13.9 lbs Skyline Chili Spaghetti - 10 minutes *,Non-Entity Phrase
162,train,"ndeath to all other universes.Mar-Vell is the avatar of Life, and Thanos is the avatar of Death. Because of this, the battle will only be over when",one of them,"destroys the other. While Star-Lord leads the Guardians and Thanos into the Fault hoping to locate Lord Mar-Vell, Lord Mar-Vell scours t",Non-Entity Phrase
163,train,"ach===After retirement he became a coach and managed teams like Club 12 de Octubre, Club Martín Ledesma and Club Silvio Pettirossi. His nickname is",robocop,.==Titles=====As player=====References==,Missing Entity
164,train,"g 195-97. Traditionally, Yibirs are known for their religious rituals. When a child is born in Somalia, a person from the Yibir caste is invited to",bless the child,"by giving a Quranic verse-containing amulet for protection, and in return the Yibir receives a payment for conducting the ceremony,",Non-Entity Phrase
167,train,"on Grundy have hit the streets to stir up trouble! Batman is on the trail of the city's spookiest villains while, further complicating matters, the",clown prince,"of crime himself, the Joker, is ruling over this mysterious crew of misfit criminals. It's up to the Dark Knight to stop this gruesome",Missing Entity
168,train,"laimed that a clandestine organisation called 'The Owl', operating outside of international law, tracked Heim down and assassinated him in the U.S.",on an island,off the California coast in 1982. Baz claimed he was a member of 'The Owl' himself and claimed that his group carried out several assas,Non-Entity Phrase
169,train,th the lyrics of the last verse being modified to O brasileiro/desta vez no Chile/mostrou o futebol como é que é/ganhou o Bicampeonato/Sambando com,a bola,no pé/Goool! (The Brazilian this time in Chile/Showed football the way it is/Won the Bichampionship/Dancing the samba with the ball on the fe,Non-Entity Phrase
170,train,"sity of California, San Diego. It was during her time as a graduate student at UCSD that Marder would be introduced to the specific neural network,",the lobster,"stomatogastric-ganglion system, that would prove pivotal for the rest of her academic career. Marder's doctoral work on the role of acet",Non-Entity Phrase
171,train,leucids tried to turn the Roman strength against them at the Battle of Thermopylae (as they believed the 300 Spartans had done centuries earlier to,the mighty,"Persian Empire). Like the Spartans, the Seleucids lost the battle, and were forced to evacuate Greece. The Romans pursued the Seleucids b",Non-Entity Phrase
173,train,released by Brazilian heavy metal band Sepultura in 2003 through SPV Records. It was exclusively released in Brazil and Japan.The EP contains seven,cover songs,". The cover of U2's Bullet the Blue Sky was released as a single, but as a part of their next album, Roorback. Revolusongs was la",Non-Entity Phrase
175,train,Baglioni Hotel London is a 5-star,luxury hotel,"in London, England. It is located at Hyde Park Gate in the Kensington area of London in a Georgian-era building overlooking Hyde Park. It is owned by Baglioni Hotels, an Italian firm that also has hotels in Venice, Milan and several other places.",Non-Entity Phrase
176,train,"n Facility in The Bronx. The facility closed in 1963.In 1966, Drexler was awarded a fellowship from the Guggenheim Foundation.In 1983, Drexler made",a journey,to the Cave of Altamira in Spain and the Grotte Chauvet in southern France. The Paleolithic drawings that he saw there influenced his late,Non-Entity Phrase
179,train,"and recorded it in early 1941.Musically, the song has been described as a jubilant Western Swing romp , with Wills urging fiddler Louis Tireney to",turn it on,"boy, turn it on half way through the song.Wills's organization was based in Tulsa from 1934 to 1942, and the song takes its name from the",Non-Entity Phrase
180,train,"na. This program, which is still in existence under the direction of Katherine Neiderer, is responsible for producing many key works in the area of",diabetes care,and amputation prevention. Some of the most notable were the ability to accurately monitor activity and the refinement of offloading t,Non-Entity Phrase
184,train,"t two votes,' which was too little, but he told us to whom the two votes would go. He'd give me one and Ed King one; that would satisfy. 鈥?But now,",what kind of fool,"am I, or what kind of fool would Ed have been, to accept gratuities for ourselves?The MFDP delegation refused the offer and left t",Non-Entity Phrase
191,train,"ints. With these points and 400,000 ig, the player can visit an office on Earth to deposit a bond and become a Trader.* TraderAs a Trader, you stop",making money,"from buying goods, carrying them elsewhere and selling them, and switch to buying futures contracts. Your proficiency at this enterpris",Non-Entity Phrase
196,train,"tle place (self-released, 2018)===Singles===* fuck these foolz that are making valencia street unchill (2016) * uuu (2016) * flash tattoos (2017) *",let freedom ring,"2 (2018) * henna tattoo (2019) * used 2 be a romantic (2019) * the bottle’s my lover, she’s just my friend (2019) * -h-o-u-s-e-k-e-",Missing Entity
206,train,"concern has been raised by some of the dialogues in the movie by Saba Sikander, one of them being Lekin humain sirf ye kehna hai ki wakai main agar",kanoon,aur vyavastha sabke liye ek samaan nahi hai toh bana dijiye ek naya Pakistan ().She said that (...) Pakistan does have objections on this fil,Non-Entity Phrase
208,train,"he preservation of the past. Thanks to her, a village museum was established, where old gadgets, documents, folklore, products and reminiscences of",old times,"are exhibited.Efforts are made to preserve tradition and in order to strengthen the bonds among local people, also outside the village, a",Non-Entity Phrase
209,train,"Robert Randolph and the Family Band and The Pretender by the Foo Fighters as their theme song. For the 2008 Kelly Cup Playoffs, the Wranglers used",give it all,by Rise Against. The Wranglers last used Redlight King Born to Rise before folding.== Season-by-season record ==Note: GP = Games playe,Non-Entity Phrase
218,train,"i. Worldwide, the most famous of these skits, and among the most successful at fake special effects was a skit which is widely known as Matrix ping",pong,.,Non-Entity Phrase
224,train,"Chart Show Hits (called Chart Show Dance at time of closure).==Bliss removals==On 6 November 2007, Bliss along with sister music channels Scuzz and",flaunt,", were removed from Virgin Media's ex-NTL platform as a deal with Chart Show Channels could not be made to make the channels available on the",Missing Entity
228,train,"ncle (Billibellarg). When he was older, he changed his name to William Barak, and became, arguably the most significant historical figure to pursue",a better life,"for his people. One of the last clans head of the Wurundjeri willam, he established the settlement of Corranderrk where many Woi Wurru",Non-Entity Phrase
229,train,"by the funk band Kool &amp; the Gang, released in 1986. The album included two major hits on the US Hot 100 Chart: Victory (US #10, R&amp;B #2) and",stone love,"(US #10, R&amp;B #4). Two further singles, Holiday and Special Way were also released from the album; the former reached the top ten on t",Non-Entity Phrase
234,train,"cers in the course of their duties. On October 14, 2015, the store was ordered to pay almost $6 million to two police officers who were shot in the",line of duty,"in 2009. The lawsuit is the second case of its type since the passage of the Protection of Lawful Commerce in Arms Act, and the only ca",Non-Entity Phrase
240,train,"it is interesting. Magical Princess Minky Momo is created by this policy. This anime series has many type of a tale. For example, one episodes is a",love romance,",Episode 35. is a spy fiction,Episode 21, 22. is a super robot anime.Episode 31. This episode is a parody of GoShogun . Plus, episode 42",Non-Entity Phrase
247,train,dition that found him in a petrified state. ; : :A goblin ( 'green demon') who works as a salvager for artifacts on The Surface (the land below the,sky islands,"where the Beasts are), a risky job. He wants Willem to join the Army. He was with Rhan and Nopht on the surface on an artifact recovery",Non-Entity Phrase
249,train,"ship subject to a usufruct with a direct substitution as to the ownership at the testator’s death =====For example, the testator leaves “my farm to",my wife,"for her life, the farm to go on my death to my son A, or if A has predeceased me, to my son B.鈥?On the testator's death the usufruct of the",Non-Entity Phrase
253,train,Coil waste 鈥?Color guide 鈥?Color trial 鈥?Combination cover 鈥?Commemorative stamp 鈥?Concentration camp mail 鈥?鈥?Control mark 鈥?Counterfeit stamps 鈥?,courier mail,鈥?Cover 鈥?Crash cover 鈥?Crown Agents Philatelic and Security Printing Archive 鈥?Cut square==D==Damaged mail 鈥?Dead letter mail 鈥?Defini,Non-Entity Phrase
254,train,"1949. A series of three volumes of short stories. * Hen dŷ ffarm ( The old farmhouse ), 1953. Autobiography. *Mazzini (1954) * Yn chwech ar hugain",oed,"( When I was twenty-six years old ). 1959. Autobiography. *Y Bod Cenhedlig (1963) *Y Gaseg Ddu ( The black mare ), 1970. Short stories.==Sources",Non-Entity Phrase
258,train,"in Europe at tracks such as Le Mans, Spa-Francorchamps and the Nürburgring, commented that it was an endurance race and that Alfie had 'butchered'",the car,"by not respecting the equipment.Bap Romano's previous challenge had gone unanswered by Peter Brock. However, the 956 that Brock and co-drive",Missing Entity
259,train,ith text and footage of war atrocities intermingled in between. Madonna appears on the screens wearing her Sorry video leotard and utters the words,talk is cheap,"and don't speak , along with the music and Bush's lips stuttering. The performances of Sorry and the remix video was included in The C",Non-Entity Phrase
260,train,reen multiplayer instead.==Development==Tournament of Legends uses an updated version of High Voltage's Quantum3 engine in use in their games,the conduit,"and The Grinder, which was also presented at E3 2009 alongside Gladiator A.D..Originally, the visual style of the game was gre",Missing Entity
266,train,"The character first appeared in the sixth episode of series 29, on 11 October. Honey left on 14 February 2015, but returned on 25 July. She made a",final exit,"on 19 September 2015.In 2015, she participated in the talent show Get Your Act Together and in 2016, she took part in Bear Grylls: Missio",Non-Entity Phrase
271,train,erage for video projects of all types. * Video Testing Services - Potent provided video testing services for rapid target demo viewing and creative,performance evaluation,"to help companies understand how well their video content delivers brand recognition, message recall, purchase intent, likeli",Non-Entity Phrase
273,train,* Mr. Romeo (1996) * Kalloori Vaasal (1996) ... Sathya's mother * Summa Irunga Machan (1996) ... Rajamma * Irattai Roja (1996) * Alexander (1996) *,priyam,(1996) * Thuraimugam (1996) ... Punniyalakshmi * Mettukudi (1996) * Take It Easy Urvashi (1996) * Avathara Purushan (1996) * Andha Naal (1996,Missing Entity
276,train,"tenegrin border during a Montenegrin attack the same year in the Mountains of Smilovica. His last words were Oh hold up, you Montenegrins. We shall",never let go,"of our lands, for here we call it Rugova. He was buried in the mountains at the Albanian-Montenegrin borders.In 2004, at the 60th anniv",Non-Entity Phrase
280,train,"n the Russian sector of Poland, confiscated, which contributed to the king giving in to Russian demands.Biogram został opublikowany w 1976 r. w XXI",tomie,"Polskiego Słownika Biograficznego During the crisis of 1794, it was noted that she and her spouse had plans to evacuate to Königsberg, though",Non-Entity Phrase
281,train,ay 1980: h6.==Follow Up==The roles of Mike Graham and Sabrina Carver are later reprised by Pierce Brosnan and Alexandra Paul in TV adaptations of,death train,"and Night Watch, both UNACO novels written for the screen. Death Train also featured Clarke Peters taking over as C. W. Whitlo",Non-Entity Phrase
285,train,"second headlining concert tour by Australian recording artist Iggy Azalea in support of her debut album, The New Classic (2014), its reissue,",reclassified,(2014) and then-upcoming second studio album. The tour was scheduled to visit twenty-one cities across North America over the span of,Non-Entity Phrase
292,train,==Track listing==# Hardest Geometry Problem in the World 鈥?Mark Mothersbaugh #,making time,鈥?The Creation # Concrete and Clay 鈥?Unit 4 + 2 # Nothin' in the World Can Stop Me Worryin' 'Bout That Girl 鈥?The Kinks # Sharp Little Guy 鈥?Mark Mothersbaugh # The Lad With the Silver Button 鈥?Mark Mother,Non-Entity Phrase
294,train,ion's sports programmes and commentating on various sporting fixtures. When the station started he was also presenter of the weekday afternoon show,afternoon delight,", before going on to be Mercia's Programme Controller and then Managing Director. As local commercial radio developed, Mercia beca",Non-Entity Phrase
295,train,winning the Juno Award for R&amp;B/Soul Recording of the Year in 1989 for his single Angel . Blue Rodeo ropes two Junos And k.d. lang makes it four,big ones,"for the country folks ]. Toronto Star, March 13, 1989.",Non-Entity Phrase
298,train,"Memorial Foundation, and a member of the Asia Society's Washington Center Advisory Committee, until his death on May 11, 2010, at the age of 75 due",to heart,"attack.Fugh's family continued by his wife June Chung (), Connie Chung's elder sister; his daughter Justina Fugh and her husband Jonathan F",Non-Entity Phrase
299,train,"Vanderbilt’s ISIS research lab has implemented a means to securely connect the smartphones to military-grade radios to secure chat, video, text and",blue force,"tacking.http://www.foxnews.com/tech/2014/02/12/researchers-work-to-secure-military-smartphones/===App Testing Portal===Working together,",Non-Entity Phrase
